"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Captain of Umbar","U","C","71514","7.58","8288","10.98","9993","48.8%","1659","47.0%","2841","51.4%","4500","49.8%","5467","48.0%","1.8pp"
"Elven Chorus","G","R","3198","2.45","858","2.63","3271","50.5%","530","47.9%","843","50.9%","1373","49.7%","1888","51.2%","-1.4pp"
"Revive the Shire","G","C","72578","7.90","7291","11.61","7561","50.1%","1199","45.5%","1885","52.0%","3084","49.5%","4466","50.6%","-1.1pp"
"Horn of the Mark","","R","3153","2.47","846","2.62","3094","52.1%","543","46.0%","718","52.1%","1261","49.5%","1831","54.0%","-4.5pp"
"Saruman of Many Colors","WUB","M","1361","2.08","531","2.01","1669","47.6%","269","44.6%","496","51.4%","765","49.0%","876","45.9%","3.1pp"
"Elven Farsight","G","C","67777","7.05","6492","10.51","10800","49.2%","1908","45.6%","2719","51.1%","4627","48.9%","6087","49.4%","-0.5pp"
"Knights of Dol Amroth","U","C","69254","7.22","7438","10.68","10382","47.7%","1599","43.8%","3192","51.3%","4791","48.8%","5549","46.9%","1.9pp"
"Mirror of Galadriel","","U","24078","6.09","2442","9.34","2956","48.9%","485","46.2%","814","50.2%","1299","48.7%","1647","48.9%","-0.2pp"
"Long List of the Ents","G","U","24054","6.51","2636","9.82","2433","48.3%","400","53.0%","580","45.0%","980","48.3%","1451","48.3%","-0.0pp"
"Display of Power","R","R","7682","5.27","1026","8.00","829","51.6%","113","","215","52.6%","328","48.2%","496","53.8%","-5.7pp"
"Shower of Arrows","G","C","72641","8.23","6318","12.39","2685","46.8%","387","46.3%","657","48.9%","1044","47.9%","1629","46.1%","1.8pp"
"Brandywine Farmer","G","C","70943","7.64","7131","11.16","9709","49.5%","1663","45.1%","2341","49.7%","4004","47.8%","5662","50.7%","-2.9pp"
"Shire Scarecrow","","C","74466","8.29","8192","11.89","5022","48.7%","965","45.3%","1276","49.3%","2241","47.6%","2769","49.5%","-1.9pp"
"Storm of Saruman","U","M","2139","3.09","468","3.66","1234","47.1%","182","","376","50.0%","558","47.5%","667","46.5%","1.0pp"
"Ent-Draught Basin","","U","25658","6.80","2453","10.38","1358","51.7%","225","44.4%","331","49.2%","556","47.3%","801","54.9%","-7.6pp"
"Fangorn, Tree Shepherd","G","R","4742","3.51","685","4.62","1526","47.6%","207","45.9%","384","47.4%","591","46.9%","924","47.8%","-1.0pp"
"Legolas, Counter of Kills","UG","U","19143","4.92","2363","7.12","5346","46.4%","886","44.0%","1460","48.6%","2346","46.8%","2970","45.7%","1.2pp"
"Borne Upon a Wind","U","R","7277","5.12","1023","7.55","981","47.3%","162","","262","47.3%","424","46.5%","559","47.6%","-1.1pp"
