"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Quickbeam, Upstart Ent","G","U","24144","3.85","4443","4.84","18847","52.3%","2920","50.3%","4704","56.5%","7624","54.1%","11091","50.7%","3.4pp"
"Radagast the Brown","G","M","1828","1.71","882","1.68","3754","56.4%","648","62.3%","1053","61.9%","1701","62.1%","2047","51.8%","10.3pp"
"Revive the Shire","G","C","111051","8.00","11157","11.73","10845","49.6%","1689","45.1%","2779","52.7%","4468","49.8%","6364","49.7%","0.2pp"
"The Ring Goes South","G","R","10818","4.95","1200","8.01","413","","66","","110","","176","","236","39.8%",""
"Shortcut to Mushrooms","G","U","31458","5.28","3435","7.79","7315","48.4%","1186","41.3%","1774","48.4%","2960","45.6%","4333","50.2%","-4.6pp"
"Shower of Arrows","G","C","111219","8.32","9658","12.49","3942","47.2%","560","45.9%","947","49.0%","1507","47.8%","2410","46.8%","1.1pp"
"Stew the Coneys","G","U","23779","3.65","4358","4.61","20521","52.4%","3394","50.5%","5317","56.0%","8711","53.9%","11747","51.4%","2.5pp"
"Wose Pathfinder","G","C","82413","4.87","11427","6.59","50217","52.8%","9265","56.3%","11876","54.0%","21141","55.0%","28915","51.2%","3.9pp"
"Aragorn, Company Leader","WG","R","4463","2.29","1563","2.29","6132","51.3%","1087","55.0%","1532","55.0%","2619","55.0%","3476","48.4%","6.7pp"
"Aragorn, the Uniter","WURG","M","2534","2.45","727","2.55","2214","50.5%","369","61.8%","602","55.0%","971","57.6%","1226","45.2%","12.4pp"
"Arwen, Mortal Queen","WG","M","1756","1.79","895","1.68","4067","57.5%","756","66.8%","1020","67.8%","1776","67.4%","2239","49.0%","18.4pp"
"Arwen Undómiel","UG","U","24718","4.31","4142","5.45","14139","51.3%","2519","57.3%","4002","54.8%","6521","55.8%","7503","47.3%","8.5pp"
