"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Warbeast of Gorgoroth","R","C","123082","6.20","18909","8.80","58580","57.7%","9145","57.0%","14662","59.6%","23807","58.6%","34807","57.0%","1.6pp"
"Bag End Porter","G","C","125589","6.81","12705","10.00","26893","53.1%","4340","53.5%","6746","56.7%","11086","55.5%","15724","51.3%","4.2pp"
"Bombadil's Song","G","C","129938","7.35","12949","10.83","22154","49.8%","3601","46.7%","5559","52.7%","9160","50.3%","12934","49.4%","0.9pp"
"Brandywine Farmer","G","C","132108","7.84","12858","11.51","15132","49.4%","2565","45.2%","3581","49.0%","6146","47.4%","8922","50.6%","-3.2pp"
"Celeborn the Wise","G","U","30506","4.06","3982","5.49","14358","50.7%","2313","52.6%","3822","53.4%","6135","53.1%","8148","48.7%","4.4pp"
"Chance-Met Elves","G","C","115180","6.25","11347","9.07","30485","49.3%","5271","50.7%","7845","50.7%","13116","50.7%","17149","48.2%","2.6pp"
"Delighted Halfling","G","R","5615","2.13","1947","2.21","8395","53.4%","1473","64.0%","2088","53.8%","3561","58.0%","4806","49.9%","8.1pp"
"Dúnedain Rangers","G","U","32468","4.27","4987","5.65","19233","52.4%","3262","52.9%","4890","55.1%","8152","54.2%","11004","50.9%","3.2pp"
"Elven Chorus","G","R","6345","2.64","1527","2.93","5778","49.4%","954","46.6%","1505","50.6%","2459","49.1%","3302","49.8%","-0.7pp"
"Elven Farsight","G","C","126376","7.19","11578","10.77","18409","49.7%","3279","47.1%","4680","52.6%","7959","50.3%","10320","49.3%","1.1pp"
"Enraged Huorn","G","C","124093","6.60","13851","9.63","39360","53.3%","6225","53.5%","10106","56.6%","16331","55.4%","22863","51.6%","3.8pp"
"Entish Restoration","G","U","39355","5.37","4434","7.81","8865","47.8%","1537","42.1%","2135","47.3%","3672","45.1%","5182","49.9%","-4.8pp"
"Ent's Fury","G","C","107694","5.39","14701","7.40","58790","53.1%","9280","51.1%","15274","57.9%","24554","55.3%","34052","51.4%","3.9pp"
"Fall of Gil-galad","G","R","5773","2.27","1756","2.45","7987","52.2%","1387","53.9%","2027","56.8%","3414","55.6%","4545","49.6%","6.0pp"
"Fangorn, Tree Shepherd","G","R","9525","3.75","1306","5.15","2880","49.5%","387","48.3%","716","47.5%","1103","47.8%","1755","50.3%","-2.5pp"
