"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Fall of Gil-galad","G","R","5377","2.25","1666","2.41","7623","52.2%","1338","54.0%","1938","57.0%","3276","55.8%","4320","49.4%","6.3pp"
"Fangorn, Tree Shepherd","G","R","8959","3.73","1238","5.10","2788","49.6%","371","47.7%","695","48.1%","1066","47.9%","1700","50.4%","-2.4pp"
"Galadhrim Bow","G","C","126196","7.90","12073","11.69","10699","51.0%","1700","50.1%","2555","53.1%","4255","51.9%","6428","50.4%","1.5pp"
"Galadhrim Guide","G","C","119262","7.08","11249","10.52","20099","50.0%","3260","50.6%","5158","51.4%","8418","51.1%","11550","49.0%","2.1pp"
"Generous Ent","G","C","105809","5.50","14308","7.78","57865","53.5%","10107","53.3%","14716","57.1%","24823","55.5%","32764","51.7%","3.9pp"
"Gift of Strands","G","U","39310","5.84","4174","8.66","7631","50.2%","1146","50.9%","1963","52.9%","3109","52.2%","4486","48.8%","3.3pp"
"Glorfindel, Dauntless Rescuer","G","U","31923","4.53","3915","6.42","11279","49.3%","1916","47.9%","2943","51.9%","4859","50.3%","6330","48.5%","1.8pp"
"Last March of the Ents","G","M","4138","3.51","589","4.64","839","46.4%","113","","237","53.2%","350","46.9%","486","45.9%","1.0pp"
"Legolas, Master Archer","G","R","4943","2.16","1581","2.19","7002","50.5%","1218","52.8%","1751","52.4%","2969","52.5%","4031","48.7%","3.9pp"
"Long List of the Ents","G","U","43060","6.72","4690","10.22","3690","48.0%","610","52.5%","886","44.2%","1496","47.6%","2192","48.4%","-0.8pp"
"Lothlórien Lookout","G","C","113151","6.47","11842","9.28","34778","50.2%","6408","51.9%","8424","49.8%","14832","50.7%","19786","49.8%","1.0pp"
"Many Partings","G","C","116489","6.62","13154","9.51","37792","52.4%","6837","54.4%","9237","54.2%","16074","54.3%","21650","51.0%","3.2pp"
"Meriadoc Brandybuck","G","U","29537","4.13","4865","5.46","19757","52.5%","3572","56.6%","4810","55.2%","8382","55.8%","11287","50.1%","5.7pp"
"Mirkwood Spider","G","C","114158","6.35","11500","9.37","35428","52.8%","6356","54.3%","8487","53.8%","14843","54.0%","20348","51.7%","2.3pp"
"Mirrormere Guardian","G","C","119691","6.89","12791","9.93","33352","53.2%","5802","53.2%","8189","55.4%","13991","54.5%","19202","52.2%","2.3pp"
"Mushroom Watchdogs","G","C","112649","6.31","13183","8.87","40100","51.7%","7203","52.7%","9570","52.1%","16773","52.3%","23171","51.0%","1.3pp"
"Peregrin Took","G","U","27556","3.86","4361","5.02","17049","51.3%","2993","51.8%","4225","52.8%","7218","52.4%","9759","50.4%","2.0pp"
"Pippin's Bravery","G","C","127433","8.19","13299","11.78","13756","51.7%","2122","50.7%","3344","53.6%","5466","52.5%","8256","51.1%","1.4pp"
"Quickbeam, Upstart Ent","G","U","27761","3.86","5024","4.88","21431","52.4%","3315","50.8%","5419","56.8%","8734","54.5%","12547","50.6%","3.9pp"
"Radagast the Brown","G","M","2097","1.73","1002","1.68","4328","56.3%","723","62.9%","1215","61.6%","1938","62.1%","2383","51.6%","10.5pp"
"Revive the Shire","G","C","127216","8.03","12707","11.78","12076","49.8%","1866","45.7%","3118","53.1%","4984","50.4%","7076","49.5%","0.8pp"
"The Ring Goes South","G","R","12658","5.00","1432","8.09","471","","78","","124","","202","38.6%","268","39.2%","-0.6pp"
"Shortcut to Mushrooms","G","U","36234","5.35","3924","7.94","8122","48.1%","1309","41.3%","1993","48.0%","3302","45.3%","4798","50.0%","-4.6pp"
"Shower of Arrows","G","C","127638","8.34","11097","12.53","4436","47.0%","643","45.4%","1060","49.4%","1703","47.9%","2706","46.5%","1.5pp"
"Stew the Coneys","G","U","27334","3.66","4892","4.68","23031","52.5%","3788","50.3%","5983","56.2%","9771","53.9%","13192","51.5%","2.5pp"
"Wose Pathfinder","G","C","94628","4.87","13018","6.61","57305","52.9%","10589","56.2%","13518","54.0%","24107","55.0%","33020","51.3%","3.6pp"
"Aragorn, Company Leader","WG","R","5179","2.31","1798","2.32","7166","51.1%","1248","54.1%","1820","54.6%","3068","54.4%","4053","48.4%","5.9pp"
"Aragorn, the Uniter","WURG","M","2964","2.50","838","2.61","2547","50.1%","418","61.2%","684","55.3%","1102","57.5%","1419","44.3%","13.2pp"
"Arwen, Mortal Queen","WG","M","2017","1.78","1020","1.69","4684","57.3%","873","67.1%","1182","67.3%","2055","67.3%","2572","48.6%","18.6pp"
"Arwen Undómiel","UG","U","28577","4.35","4702","5.58","15688","51.0%","2792","56.8%","4450","54.3%","7242","55.3%","8321","47.1%","8.2pp"
"The Balrog, Durin's Bane","BR","R","4956","2.14","2425","2.15","11729","56.3%","1768","58.9%","3051","58.9%","4819","58.9%","6905","54.4%","4.5pp"
